refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qty,primaryValue
2023,China,Export,Ecuador,282520,Lithium oxide and hydroxide,1000,35000
2023,China,Export,France,282520,Lithium oxide and hydroxide,10001,350001
2023,China,Export,Germany,282520,Lithium oxide and hydroxide,899711,33956035
2023,China,Export,Indonesia,282520,Lithium oxide and hydroxide,94800,3623630
2023,China,Export,Iran,282520,Lithium oxide and hydroxide,8000,343063
2023,China,Export,Israel,282520,Lithium oxide and hydroxide,8000,264000
2023,China,Export,Italy,282520,Lithium oxide and hydroxide,500,48468
2023,China,Export,Japan,282520,Lithium oxide and hydroxide,30958311,1503302936
2023,China,Export,Kenya,282520,Lithium oxide and hydroxide,3000,92245
2023,China,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,93655700,4455982245
2023,China,Export,Kuwait,282520,Lithium oxide and hydroxide,1000,35758
2023,China,Export,Lithuania,282520,Lithium oxide and hydroxide,1000,31400
2023,China,Export,Malaysia,282520,Lithium oxide and hydroxide,6350,214867
2023,China,Export,Mexico,282520,Lithium oxide and hydroxide,47721,2532712
2023,China,Export,"Other Asia, nes",282520,Lithium oxide and hydroxide,131825,6296115
2023,China,Export,Morocco,282520,Lithium oxide and hydroxide,6000,273000
2023,China,Export,Netherlands,282520,Lithium oxide and hydroxide,81000,2884203
2023,China,Export,Pakistan,282520,Lithium oxide and hydroxide,11100,304950
2023,China,Export,Peru,282520,Lithium oxide and hydroxide,3000,233751
2023,China,Export,Philippines,282520,Lithium oxide and hydroxide,47000,2679904
2023,China,Export,Russian Federation,282520,Lithium oxide and hydroxide,150000,7725016
2023,China,Export,Saudi Arabia,282520,Lithium oxide and hydroxide,20000,1324089
2023,China,Export,India,282520,Lithium oxide and hydroxide,169595,4439561
2023,China,Export,Singapore,282520,Lithium oxide and hydroxide,272150,13364272
2023,China,Export,Viet Nam,282520,Lithium oxide and hydroxide,10000,298368
2023,China,Export,Sweden,282520,Lithium oxide and hydroxide,2880077,156246413
2023,China,Export,Thailand,282520,Lithium oxide and hydroxide,147975,6593625
2023,China,Export,United Arab Emirates,282520,Lithium oxide and hydroxide,201000,6444382
2023,China,Export,Tunisia,282520,Lithium oxide and hydroxide,6000,482409
2023,China,Export,T¨¹rkiye,282520,Lithium oxide and hydroxide,75000,3229950
2023,China,Export,Egypt,282520,Lithium oxide and hydroxide,12000,357185
2023,China,Export,USA,282520,Lithium oxide and hydroxide,17662,722336
2023,China,Export,Uzbekistan,282520,Lithium oxide and hydroxide,2000,104920
2023,Zimbabwe,Export,South Africa,282520,Lithium oxide and hydroxide,12.21,58.88
2023,USA,Export,Argentina,282520,Lithium oxide and hydroxide,186300,2136841
2023,USA,Export,Austria,282520,Lithium oxide and hydroxide,39,10740
2023,USA,Export,Belgium,282520,Lithium oxide and hydroxide,148900,1894628
2023,USA,Export,Canada,282520,Lithium oxide and hydroxide,356093,5229403
2023,USA,Export,Chile,282520,Lithium oxide and hydroxide,1,7581
2023,USA,Export,China,282520,Lithium oxide and hydroxide,653109,11117896
2023,USA,Export,Colombia,282520,Lithium oxide and hydroxide,20911,1356063
2023,USA,Export,Costa Rica,282520,Lithium oxide and hydroxide,714,107946
2023,USA,Export,Czechia,282520,Lithium oxide and hydroxide,24,10740
2023,USA,Export,France,282520,Lithium oxide and hydroxide,3413,941634
2023,USA,Export,Germany,282520,Lithium oxide and hydroxide,332970,11786579
2023,USA,Export,Guatemala,282520,Lithium oxide and hydroxide,678,87580
2023,USA,Export,Israel,282520,Lithium oxide and hydroxide,128,66524
2023,USA,Export,Italy,282520,Lithium oxide and hydroxide,861,135626
2023,USA,Export,Japan,282520,Lithium oxide and hydroxide,4368747,176386793
2023,USA,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,2001886,80096614
2023,USA,Export,Luxembourg,282520,Lithium oxide and hydroxide,500,145620
2023,USA,Export,Malaysia,282520,Lithium oxide and hydroxide,1,4682
2023,USA,Export,Mexico,282520,Lithium oxide and hydroxide,29787,1270482
2023,USA,Export,"Other Asia, nes",282520,Lithium oxide and hydroxide,1293,305500
2023,USA,Export,Netherlands,282520,Lithium oxide and hydroxide,137619,1880915
2023,USA,Export,Philippines,282520,Lithium oxide and hydroxide,24,10500
2023,USA,Export,Poland,282520,Lithium oxide and hydroxide,234013,9340872
2023,USA,Export,India,282520,Lithium oxide and hydroxide,22166,637620
2023,USA,Export,Singapore,282520,Lithium oxide and hydroxide,89650,3145381
2023,USA,Export,South Africa,282520,Lithium oxide and hydroxide,1224,203298
2023,USA,Export,Spain,282520,Lithium oxide and hydroxide,485,121350
2023,USA,Export,Sweden,282520,Lithium oxide and hydroxide,896,231660
2023,USA,Export,Switzerland,282520,Lithium oxide and hydroxide,189,8000
2023,USA,Export,Thailand,282520,Lithium oxide and hydroxide,42820,3313310
2023,USA,Export,United Kingdom,282520,Lithium oxide and hydroxide,13892,2861347
2024,Australia,Export,China,282520,Lithium oxide and hydroxide,1316630,23683630.57
2024,Australia,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,936554,12504296.34
2024,Brazil,Export,China,282520,Lithium oxide and hydroxide,6221550,4537890
2024,Canada,Export,USA,282520,Lithium oxide and hydroxide,5,3504.557
2024,Chile,Export,Argentina,282520,Lithium oxide and hydroxide,59000,998410
2024,Chile,Export,Australia,282520,Lithium oxide and hydroxide,20000,260413.79
2024,Chile,Export,Belgium,282520,Lithium oxide and hydroxide,2744900,34117861.41
2024,Chile,Export,Bolivia (Plurinational State of),282520,Lithium oxide and hydroxide,218.125,2585.356
2024,Chile,Export,Brazil,282520,Lithium oxide and hydroxide,204000,3122323.28
2024,Chile,Export,Colombia,282520,Lithium oxide and hydroxide,8000,125738.91
2024,Chile,Export,Indonesia,282520,Lithium oxide and hydroxide,20000,270230.93
2024,Chile,Export,Japan,282520,Lithium oxide and hydroxide,1730380,17476915.39
2024,Chile,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,14267700,168613114.1
2024,Chile,Export,Mexico,282520,Lithium oxide and hydroxide,60000,727482.87
2024,Chile,Export,Peru,282520,Lithium oxide and hydroxide,5080.208,68645.264
2024,Chile,Export,Poland,282520,Lithium oxide and hydroxide,774172,9938091.88
2024,Chile,Export,India,282520,Lithium oxide and hydroxide,440000,4177214.96
2024,Chile,Export,South Africa,282520,Lithium oxide and hydroxide,75000,1573112.87
2024,Chile,Export,Thailand,282520,Lithium oxide and hydroxide,40000,541337.35
2024,Chile,Export,USA,282520,Lithium oxide and hydroxide,676924,8378397.7
2024,Portugal,Export,Spain,282520,Lithium oxide and hydroxide,363,101057.534
2024,Zimbabwe,Export,South Africa,282520,Lithium oxide and hydroxide,100,14.95
2024,USA,Export,Argentina,282520,Lithium oxide and hydroxide,199640,4801227
